;;;;;;;;;;;;;;;;;;;Test Design technique;;;;;;;;;;;;;;;;;;;;;;;;;Testing Practice;;;;;;;;;;;;Testing level;;;;;;Testing Type;;;;;;;;;;;;;;;;;;;
Portugal;EU;Universidade do Minho;Bachelor in Informatics Engineering;Bachelor;https://web.di.uminho.pt/sitedi/enginf/;Software Systems Development;3;https://www4.di.uminho.pt/~jno/sitedi/uc_J305N2.html;CE;5;Both ;60;30;30;NSt;Open questions,Project ;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
Portugal;EU;Universidade do Minho;Masters in Informatics Engineering;Master;https://web.di.uminho.pt/sitedi/meinf/;Security Engineering;1;https://www4.di.uminho.pt/~jno/sitedi/uc_ME78ME7800006096.html;CE;5;Both ;45;15;30;NSt;Project,Discussion;English;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;
Portugal;EU;Universidade do Minho;"Masters in Mathematics and Computation
Master in Informatics Engineering
";Master;"https://www.ecum.uminho.pt/pt/Ensino/Paginas/mestrados/Mestrado-em-Matematica-e-Computacao.aspx
https://www.uminho.pt/EN/education/educational-offer/_layouts/15/UMinho.PortalUM.UI/Pages/CatalogoCursoDetail.aspx?itemId=4711&catId=14";Security Technologies;1;https://www.ecum.uminho.pt/en/Ensino/Pages/masters/Master-Degree-in-Mathematics-and-Computation.aspx;CS;5;Both ;45;15;30;NSt;Project,Discussion;English;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;
Portugal;EU;Universidade do Minho;Masters in Information Systems;Master;https://www.uminho.pt/pt/ensino/oferta-educativa/_layouts/15/uminho.portalum.ui/pages/catalogocursodetail.aspx?itemid=3699&catid=11;Testing and Validation of Information Systems;1;https://www.uminho.pt/en/education/educational-offer/cursos-conferentes-a-grau/_layouts/15/uminho.portalum.ui/pages/catalogocursodetail.aspx?itemid=4359&catid=13;CE;5;Both ;30;N/A;N/A;ST;Project,Discussion;NA;"Essential bibliography
ISTQB. (2018). “Certified Tester Foundation Level Syllabus”. 

ISTQB (International International Software Testing Qualifications Board). (2015). “Standard glossary of terms used in Software Testing”. 

ISO/IEC/IEEE 29119-3: Test Documentation.

IEEE Computer Society (2014). Guide to the software engineering body of knowledge version 3.0. Retrieved from www.swebok.org .

Ordem dos Engenheiros, C. N. do C. de E. I. (2013). Actos de Engenharia Informática. 

Anderson, L. W. and Krathwohl, D. R. (eds) (2001) A Taxonomy for Learning, Teaching, and Assessing: A Revision of Bloom's Taxonomy of Educational Objectives, Allyn & Bacon.";X;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;
Portugal;EU;Universidade do Minho;Masters in Engineering and Management of Information Systems;Master;https://www.uminho.pt/PT/ensino/oferta-educativa/Cursos-Conferentes-a-Grau/_layouts/15/UMinho.PortalUM.UI/Pages/CatalogoCursoDetail.aspx?itemId=4712&catId=14;Information Systems Security Engineering;1;https://www.uminho.pt/EN/education/educational-offer/Cursos-Conferentes-a-Grau/_layouts/15/UMinho.PortalUM.UI/Pages/CatalogoCursoDetail.aspx?itemId=4712&catId=14;CE;5;Both ;30;N/A;N/A;NSt;Exercises,Discussion;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;
Portugal;EU;Universidade do Minho;Masters in Telecommunications and Informatics Engineering;Master;https://www.uminho.pt/PT/ensino/oferta-educativa/Cursos-Conferentes-a-Grau/_layouts/15/UMinho.PortalUM.UI/Pages/CatalogoCursoDetail.aspx?itemId=4721&catId=14;Cybersecurity;1;https://www.uminho.pt/PT/ensino/oferta-educativa/Cursos-Conferentes-a-Grau/_layouts/15/UMinho.PortalUM.UI/Pages/CatalogoCursoDetail.aspx?itemId=4721&catId=14;CE;5;Both ;45;15;30;NSt;Exercises,Discussion,Open Questions;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
Portugal;EU;ISCTE Instituto Universitário de Lisboa;"Computer Science Engineering
Computer Science and Business Management
Telecommunications and Computer Engineering ";Bachelor;"https://www.iscte-iul.pt/curso/3/licenciatura-engenharia-informatica/planoestudos
https://www.iscte-iul.pt/course/6/bachelor-bsc-in-computer-science-and-business-management/studyplan";Software Engineering;3;https://fenix.iscte-iul.pt/disciplinas/03712/2023-2024/2-semestre/fuc?locale=pt;CE;6;Both;54;18;36;NSt;Open questions,Project;Portuguese;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;
Portugal;EU ;ISCTE Instituto Universitário de Lisboa;Software and Applications Development;Bachelor;https://www.iscte-iul.pt/course/378/bachelor-bsc-in-software-and-applications-development;Agile Software Development;2;https://fenix.iscte-iul.pt/disciplinas/04124/2023-2024/1-semestre/fuc?locale=en_EN_ISCTE;CE;6;Lab;36;N/A;36;NSt;Exercises,Project;Portuguese;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;X;;;;;;;;;X;;;;;;;;;;
Italy;EU;Roma Sapienza;Bachelor’s Degree in Computer and System Engineering;Bachelor;https://corsidilaurea.uniroma1.it/en/corso/2022/31810/cds;SOFTWARE DESIGN ;2;https://corsidilaurea.uniroma1.it/en/view-course-details/2020/29931/20200313105820/2c733758-4500-4495-adc3-0cd4ecb4e63f/6571e24f-3bd9-4ec0-a807-eb4b035869d9/db30f5ea-ca15-4af1-9b2e-7cd657d522ac/d9d177c0-4a2e-40a2-9f99-280747f94cce?guid_cv=6571e24f-3bd9-4ec0-a807-eb4b035869d9&current_erogata=2c733758-4500-4495-adc3-0cd4ecb4e63f;CE;9;Both;100;32;68;NSt;N/A;Italian;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;;;X;;;;;;;;;;;;;;;;;;;
Italy;EU;Torino Politecnico polito;Computer Engineering;Bachelor;https://didattica.polito.it/pls/portal30/sviluppo.offerta_formativa_2019.vis?p_a_acc=2023&p_sdu=37&p_cds=3;Object Oriented Programming;2;https://didattica.polito.it/pls/portal30/gap.pkg_guide.viewGap?p_cod_ins=09CBIOA&p_a_acc=2023&p_header=S&p_lang=&multi=N;CE;8;Both ;98;N/A;N/A;NSt;Open Questions;Italian;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
Italy;EU;Torino Politecnico polito;Computer Engineering;Bachelor;https://didattica.polito.it/pls/portal30/sviluppo.offerta_formativa_2019.vis?p_a_acc=2023&p_sdu=37&p_cds=3;Object Oriented Programming;2;https://didattica.polito.it/pls/portal30/gap.pkg_guide.viewGap?p_cod_ins=09CBIOA&p_a_acc=2023&p_header=S&p_lang=&multi=N;CE;8;Both ;98;N/A;N/A;NSt;Open Questions;Italian;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
Italy;EU;Torino Politecnico polito;Computer Engineering;Bachelor;https://didattica.polito.it/pls/portal30/sviluppo.offerta_formativa_2019.vis?p_a_acc=2023&p_sdu=37&p_cds=3;Object Oriented Programming;2;https://didattica.polito.it/pls/portal30/gap.pkg_guide.viewGap?p_cod_ins=04JEYOA&p_a_acc=2023&p_header=S&p_lang=&multi=N;CE;8;Both ;98;N/A;N/A;NSt;Open Questions;English;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
Portugal;EU;Faculty of Sciences, University of Lisbon ;Bachelor Programme in Informatics Engineering;Bachelor;https://fenix.ciencias.ulisboa.pt/degrees/engenharia-informatica-564500436615278;Programming labs;1;https://fenix.ciencias.ulisboa.pt/degrees/engenharia-informatica-564500436615278/disciplina-curricular/564680825258165  ;CE;6;Lab;39;0;39;NSt;Exercises;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;
Portugal;EU;Instituto Superior Técnico, University of Lisbon;Undergraduate in Computer Science and Engineering;Bachelor;https://fenix.tecnico.ulisboa.pt/cursos/leic-a;Software Engineering ;3;https://fenix.tecnico.ulisboa.pt/cursos/leic-a/disciplina-curricular/845953938489555 ;CE;6;Both ;;N/A;N/A;NSt;Open questions,Project;N/A;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;x;x;x;x;x;;;;;;;;;;;;;x;;;;;;;;;;
